"24","100","1","shot"
"25","100","Around","rim"
"30","100","3","dashes"
"52","100","Fill","to"
"12","101","6","cl"
"39","101","2","tsp"
"41","101","1","tsp"
"18","101","Juice","of"
"26","101","1","of"
"42","101","","of"
"12","102","4.5","cl"
"37","102","1.5","cl"
"71","102","2","dashes"
"66","103","2.3","cl"
"12","103","4.5","cl"
"42","104","","cl"
"12","104","","cl"
"81","104","","cl"
"41","104","","cl"
"111","104","","cl"
"20","104","","cl"
"12","105","4.5","cl"
"66","105","4.5","cl"
"116","105","1","tsp"
"73","105","2","dashes"
"12","106","3","cl"
"81","106","3","cl"
"14","106","1/4","tsp"
"71","106","1","dash"
"33","106","1","dash"
"12","107","5","cl"
"81","107","1","cl"
"117","107","1","cl"
"12","108","6","cl"
"85","108","1","tsp"
"11","108","1.5","cl"
"31","108","1","tsp"
"118","109","1.5","cl"
"10","109","1.5","cl"
"12","109","1.5","cl"
"64","109","1.5","cl"
"119","109","6","cl"
"120","109","1","splash"
"12","110","3","cl"
"121","110","3","cl"
"66","110","3","cl"
"38","111","1.5","cl"
"12","111","4.5","cl"
"11","111","12","cl"
"23","111","","cl"
"12","112","7","parts"
"122","112","4","parts"
"72","112","3","parts"
"12","113","4.5","cl"
"123","113","2.3","cl"
"109","113","2.3","cl"
"73","113","1","dash"
"91","113","1","dash"
"17","114","3","dashes"
"12","114","6","cl"
"12","115","4.5","cl"
"31","115","1","tsp"
"39","115","1","tsp"
"26","115","1","tsp"
"12","116","4.5","cl"
"63","116","2.3","cl"
"81","117","1.5","cl"
"12","117","4.5","cl"
"85","117","1","1/2"
"81","118","1.5","cl"
"12","118","3","cl"
"28","118","1.5","cl"
"22","118","1/2","tsp"
"31","118","1","tsp"
"41","118","","tsp"
"12","119","50","ml"
"64","119","15","ml"
"124","119","100","ml"
"125","119","Garnish","with"
"12","120","3","cl"
"16","120","6","cl"
"126","120","1","whole"
"15","120","","whole"
"12","121","6","cl"
"18","121","Juice","of"
"41","121","1","tsp"
"126","121","1","whole"
"42","121","","whole"
"12","122","6","cl"
"127","122","15","cl"
"31","122","2","splashes"
"12","123","50","ml"
"128","123","30","ml"
"129","123","15","ml"
"130","123","Garnish","ml"
"131","123","Grated","ml"
"53","124","15","cl"
"12","124","4.5","cl"
"132","124","1/4","tsp"
"38","125","1.5","cl"
"31","125","1.5","cl"
"12","125","3","cl"
"16","125","6","cl"
"42","125","","cl"
"33","125","","cl"
"133","126","1","part"
"134","126","1","part"
"12","126","2","parts"
"69","126","1/2","part"
"12","127","50","ml"
"135","127","15","ml"
"136","127","15","ml"
"124","127","75","ml"
"35","127","2","Wedges"
"94","127","1","Slice"
"27","127","1","Large"
"12","128","6","cl"
"22","128","3","cl"
"25","128","1","tsp"
"100","128","9","cl"
"50","128","1","cl"
"29","128","1","cl"
"81","129","3","cl"
"12","129","3","cl"
"137","129","1/4","tsp"
"17","129","2","dashes"
"114","129","Twist","of"
"81","130","4.5","cl"
"12","130","4.5","cl"
"37","130","1/4","tsp"
"137","130","1/4","tsp"
"71","130","2","dashes"
"33","130","1","dashes"
"12","131","6","cl"
"10","131","1.5","cl"
"101","131","0.75","cl"
"12","132","4.5","cl"
"66","132","1.5","cl"
"34","132","1.5","cl"
"14","133","2.3","cl"
"12","133","2.3","cl"
"46","133","1","tblsp"
"12","134","4cl","tblsp"
"98","134","3cl","tblsp"
"70","134","2cl","tblsp"
"9","135","4.5","cl"
"138","135","6","cl"
"11","135","9","cl"
"9","136","6","cl"
"22","136","3","cl"
"31","136","1","tsp"
"9","137","6","cl"
"139","137","3","cl"
"26","137","1","cl"
"118","138","3","parts"
"140","138","1","part"
"141","138","1","part"
"31","138","1","part"
"142","138","2","parts"
"72","138","2","parts"
"143","138","1","part"
"9","139","1","shot"
"29","139","1","slice"
"144","139","1/2","glass"
"127","139","1/2","glass"
"118","140","4","parts"
"140","140","2","parts"
"145","140","1","part"
"64","140","1","part"
"143","140","6","parts"
"44","140","cubes","parts"
"9","141","1-2","shot"
"35","141","Squeeze","shot"
"15","141","Fill","with"
"44","141","","with"
"140","142","5","cl"
"146","142","10","cl"
"9","143","1.5","cl"
"10","143","1.5","cl"
"14","143","1.5","cl"
"13","143","1.5","cl"
"147","143","1.5","cl"
"148","143","Fill","with"
"9","144","4.5","cl"
"149","144","1.5","cl"
"51","145","6","cl"
"9","145","3","cl"
"74","145","1.5","cl"
"27","146","1/2","handful"
"22","146","3","cl"
"9","146","1/8","L"
"100","146","1/8","L"
"150","146","8","drops"
"9","147","1","part"
"49","147","1/2","part"
"11","147","2","parts"
"46","147","1","part"
"9","148","4.5","cl"
"139","148","1.5","cl"
"39","148","3","cl"
"57","148","1/8","tsp"
"9","149","6","cl"
"38","149","1.5","cl"
"66","150","2","shots"
"81","150","1","shot"
"113","150","Top","up"
